id	tick_lower	tick_upper	ticks	deposited_token0	deposited_token1	collected_token0	collected_token1	total_deposited_usd	total_profit_usd	apr_30d	apr	in_range	impermanent_loss	wallet	open_price	close_price	open_date	close_date
10773920	-68000	-66000	2000	35691.092454	1.782	35481.673675	1.78473695	171644.1089759529	24826.228763639374	7.61	92.62	0	0.00		76292.3773972799651367516247786163	90203.02071103097894253410031531367	1744153713	1745326800
10777367	-68000	-66000	2000	33354.749866	1.78192076	33354.749865	1.78192075	169568.54381154332	24520.840371122562	7.61	92.60	0	0.00		76442.11628442069518625482634939409	90203.02071103097894253410031531367	1744157897	1745326800
10773903	-68000	-66000	2000	35736.647945	1.782	35736.647944	1.78199999	171689.6644669529	24788.765482074123	7.60	92.45	0	0.00		76292.3773972799651367516247786163	90203.02071103097894253410031531367	1744153687	1745326800
10773907	-68000	-66000	2000	35691.092454	1.782	35691.092453	1.78199999	171644.1089759529	24788.765482074123	7.60	92.48	0	0.00		76292.3773972799651367516247786163	90203.02071103097894253410031531367	1744153695	1745326800
10773785	-68000	-66000	2000	36047.194644	1.782	36047.194643	1.78199999	172000.2111659529	24788.765482074123	7.59	92.29	0	0.00		76292.3773972799651367516247786163	90203.02071103097894253410031531367	1744153563	1745326800
10774198	-68000	-66000	2000	36101.285114	1.782	36101.285113	1.78199999	172054.3016359529	24788.765482074123	7.58	92.26	0	0.00		76292.3773972799651367516247786163	90203.02071103097894253410031531367	1744154047	1745326800
10774239	-68000	-66000	2000	36063.973948	1.782	36063.973947	1.78199999	172016.9904699529	24788.765482074123	7.58	92.28	0	0.00		76292.3773972799651367516247786163	90203.02071103097894253410031531367	1744154103	1745326800
10669104	-68000	-66000	2000	31553.681505	1.782	31553.681504	1.78199999	167365.45630590688	24930.007203120134	7.57	92.15	0	0.00		76213.11717222609508187016703963076	90203.02071103097894253410031531367	1744019831	1745326800
10669111	-68000	-66000	2000	31553.681505	1.782	31553.681504	1.78199999	167365.45630590688	24930.007203120134	7.57	92.15	0	0.00		76213.11717222609508187016703963076	90203.02071103097894253410031531367	1744019841	1745326800
10779013	-68000	-66000	2000	34523.203506	1.782	34279.311952	1.78519089	170743.05472483768	24565.868050976133	7.57	92.13	0	0.00		76442.11628442069518625482634939409	90203.02071103097894253410031531367	1744160015	1745326800
10778431	-68000	-66000	2000	34226.382545	1.782	34226.382544	1.78199999	170446.2337638377	24521.93078518933	7.57	92.13	0	0.00		76442.11628442069518625482634939409	90203.02071103097894253410031531367	1744159349	1745326800
10778983	-68000	-66000	2000	34750.755507	1.782	34634.672696	1.78351831	170970.6067258377	24542.8050255953	7.56	91.92	0	0.00		76442.11628442069518625482634939409	90203.02071103097894253410031531367	1744159989	1745326800
10778412	-68000	-66000	2000	34420.702824	1.782	34395.751105	1.78232643	170640.5540428377	24526.424941270212	7.56	92.04	0	0.00		76442.11628442069518625482634939409	90203.02071103097894253410031531367	1744159323	1745326800
10787299	-68000	-66000	2000	31891.845358	1.782	31874.328258	1.7822297	168440.6357710192	24196.19502789533	7.56	91.99	0	0.00		76626.70618014547323983690932796173	90203.02071103097894253410031531367	1744175275	1745326800
10773589	-68000	-66000	2000	37666.153102	1.782	37198.142441	1.78810679	173619.16962395288	24871.606628952242	7.54	91.73	0	0.00		76292.3773972799651367516247786163	90203.02071103097894253410031531367	1744153339	1745326800
10778332	-68000	-66000	2000	35065.842694	1.782	34903.309687	1.78412532	171285.69391283768	24551.108965197105	7.54	91.78	0	0.00		76442.11628442069518625482634939409	90203.02071103097894253410031531367	1744159253	1745326800
10805842	-68000	-66000	2000	30493.839827	1.782	30313.480955	1.78436841	167302.33656777864	23966.56503056078	7.54	91.73	0	0.00		76772.44486014515035503197843169561	90203.02071103097894253410031531367	1744202223	1745326800
10778283	-68000	-66000	2000	35373.33082	1.782	35232.830991	1.78383668	171593.1820388377	24547.10594329908	7.53	91.60	0	0.00		76442.11628442069518625482634939409	90203.02071103097894253410031531367	1744159185	1745326800
10778258	-68000	-66000	2000	35424.871929	1.782	35407.382807	1.78222859	171644.72314783768	24525.062074723857	7.52	91.50	0	0.00		76442.11628442069518625482634939409	90203.02071103097894253410031531367	1744159155	1745326800
10778249	-68000	-66000	2000	35424.871929	1.782	35424.871928	1.78199999	171644.72314783768	24521.93078518933	7.52	91.48	0	0.00		76442.11628442069518625482634939409	90203.02071103097894253410031531367	1744159141	1745326800
10773466	-68000	-66000	2000	38013.927438	1.782	37923.115502	1.78318434	173966.9439599529	24804.78549465323	7.50	91.30	0	0.00		76292.3773972799651367516247786163	90203.02071103097894253410031531367	1744153213	1745326800
10773458	-68000	-66000	2000	38052.843978	1.782	38022.397378	1.78239705	174005.8604999529	24794.13489447764	7.50	91.24	0	0.00		76292.3773972799651367516247786163	90203.02071103097894253410031531367	1744153203	1745326800
10778221	-68000	-66000	2000	35930.677784	1.782	35806.492409	1.78362258	172150.5290028377	24544.107930564845	7.50	91.30	0	0.00		76442.11628442069518625482634939409	90203.02071103097894253410031531367	1744159103	1745326800
10778191	-68000	-66000	2000	35941.722026	1.782	35932.980542	1.7821142	172161.5732448377	24523.491389184717	7.50	91.21	0	0.00		76442.11628442069518625482634939409	90203.02071103097894253410031531367	1744159069	1745326800
10787206	-68000	-66000	2000	33421.16581	1.782	33388.688279	1.78242528	169969.95622301922	24198.876503686	7.49	91.17	0	0.00		76626.70618014547323983690932796173	90203.02071103097894253410031531367	1744175043	1745326800
10787088	-68000	-66000	2000	33776.288847	1.782	33635.809438	1.78383906	170325.07926001924	24218.401852306837	7.48	91.05	0	0.00		76626.70618014547323983690932796173	90203.02071103097894253410031531367	1744174811	1745326800
10805299	-68000	-66000	2000	31793.69128	1.782	31594.379813	1.78461412	168602.18802077865	23969.776219779706	7.48	91.04	0	0.00		76772.44486014515035503197843169561	90203.02071103097894253410031531367	1744201479	1745326800
10668622	-68000	-66000	2000	33934.47634	1.782	33841.606763	1.78321557	169746.25114090688	24946.786615036057	7.47	90.92	0	0.00		76213.11717222609508187016703963076	90203.02071103097894253410031531367	1744019221	1745326800
10788486	-68000	-66000	2000	34349.557328	1.782	33998.659011	1.78659188	170898.3477410192	24256.295623780563	7.47	90.89	0	0.00		76626.70618014547323983690932796173	90203.02071103097894253410031531367	1744177579	1745326800
